2019-09-30 01:47:08 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=3, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646051698609005632 }', details={}}]. 
2019-09-30 01:56:09 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=5, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052262851960124 }', details={}}]. 
2019-09-30 01:56:18 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=3, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052272540802388 }', details={}}]. 
2019-09-30 01:56:25 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=3, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052279271800936 }', details={}}]. 
2019-09-30 01:56:31 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=8, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052285650840680 }', details={}}]. 
2019-09-30 01:56:33 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=14, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052290973702716 }', details={}}]. 
2019-09-30 01:57:01 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=6, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052299731541240 }', details={}}]. 
2019-09-30 01:57:33 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=8, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052332570660428 }', details={}}]. 
2019-09-30 01:58:00 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=14, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052361137891728 }', details={}}]. 
2019-09-30 01:58:31 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=9, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052394156850012 }', details={}}]. 
2019-09-30 01:58:47 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=4, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052419409473540 }', details={}}]. 
2019-09-30 01:59:11 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=3, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052436540977472 }', details={}}]. 
2019-09-30 01:59:39 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=9, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052464591689436 }', details={}}]. 
2019-09-30 02:00:05 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=3, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052492718535116 }', details={}}]. 
2019-09-30 02:00:34 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=3, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052522623114700 }', details={}}]. 
2019-09-30 02:01:02 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=7, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052552115087828 }', details={}}]. 
2019-09-30 02:01:05 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=10, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052575669587344 }', details={}}]. 
2019-09-30 02:01:16 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=28, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052579495620200 }', details={}}]. 
2019-09-30 02:01:36 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=3, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052593652309500 }', details={}}]. 
2019-09-30 02:02:05 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=6, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052617488656028 }', details={}}]. 
2019-09-30 02:02:15 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=14, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052645155507276 }', details={}}]. 
2019-09-30 02:02:29 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=5, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052653973822152 }', details={}}]. 
2019-09-30 02:02:38 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=6, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052670806812884 }', details={}}]. 
2019-09-30 02:03:04 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=8, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052680695005696 }', details={}}]. 
2019-09-30 02:03:09 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=37, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052705505252004 }', details={}}]. 
2019-09-30 02:03:31 - Bulk write operation error on server localhost:27017. Write errors: [BulkWriteError{index=6, code=11000, message='E11000 duplicate key error collection: socins.relationNodes index: _id_ dup key: { : 1646052712081866520 }', details={}}]. 
